"frag";"nfrag";"areafrag";"parc";"areaparc";"vtcc"
2;110;47,35;1;1000;10,2459718284459
2;110;47,35;2;1000;5,55641195389195
2;110;47,35;3;1000;8,76682629569193
2;110;47,35;4;1000;10,9918028039698
2;110;47,35;5;1000;8,59213750402061
3;110;102,57;1;1000;6,51409660645103
3;110;102,57;2;1000;6,02017863400811
3;110;102,57;3;1000;4,2813516724561
3;110;102,57;4;1000;6,80966688326745
3;110;102,57;5;1000;5,04772728046233
3;110;102,57;6;1000;4,42083666027512
3;110;102,57;7;1000;5,32203026144581
3;110;102,57;8;1000;7,1885796099524
3;110;102,57;9;1000;5,6471181666522
3;110;102,57;10;1000;7,00017696415389
3;110;102,57;11;1000;6,43532980589937
8;110;492,23;1;1000;9,73766639558237
8;110;492,23;2;1000;8,59301309271596
8;110;492,23;3;1000;9,28573339488169
8;110;492,23;4;1000;5,14577640847039
8;110;492,23;5;1000;9,76639125281488
8;110;492,23;6;1000;8,89130622706057
8;110;492,23;7;1000;9,83180477698282
8;110;492,23;8;1000;8,97234906548828
8;110;492,23;9;1000;12,2517052244573
8;110;492,23;10;1000;11,0133100259531
8;110;492,23;11;1000;12,6823223850368
8;110;492,23;12;1000;5,86302329170724
8;110;492,23;13;1000;5,15754369476456
8;110;492,23;14;1000;7,55045184260839
8;110;492,23;15;1000;8,89173573743118
8;110;492,23;16;1000;8,33406981323538
8;110;492,23;17;1000;9,88442667667529
8;110;492,23;18;1000;5,82438305178218
8;110;492,23;19;1000;8,81712283723271
8;110;492,23;20;1000;5,92815356744754
8;110;492,23;21;1000;7,98223475261835
8;110;492,23;22;1000;8,36888684721388
8;110;492,23;23;1000;5,7822060529756
8;110;492,23;24;1000;8,52799338282871
8;110;492,23;25;1000;8,61953219487574
8;110;492,23;26;1000;7,46125494948778
8;110;492,23;27;1000;11,1840748655189
8;110;492,23;28;1000;10,2521740025726
8;110;492,23;29;1000;11,4457655361221
8;110;492,23;30;1000;6,11989710524339
8;110;492,23;31;1000;5,13436652344878
8;110;492,23;32;1000;6,97449754611402
8;110;492,23;33;1000;8,99173886769969
8;110;492,23;34;1000;8,98102127230977
8;110;492,23;35;1000;6,0516344596627
8;110;492,23;36;1000;11,5656264595235
8;110;492,23;37;1000;10,3069088361901
8;110;492,23;38;1000;9,43195313768167
8;110;492,23;39;1000;5,45412529749289
8;110;492,23;40;1000;6,95669191527849
8;110;492,23;41;1000;6,73543136130257
8;110;492,23;42;1000;9,27637114568993
8;110;492,23;43;1000;9,22266059083058
8;110;492,23;44;1000;7,89997781193591
8;110;492,23;45;1000;4,49880458792909
8;110;492,23;46;1000;7,15334840756598
20;110;170,74;1;1000;7,52507702846124
20;110;170,74;2;1000;11,7559756189255
20;110;170,74;3;1000;10,5607933001056
20;110;170,74;4;1000;12,736686199169
20;110;170,74;5;1000;9,13803992421604
20;110;170,74;6;1000;9,62988232406995
20;110;170,74;7;1000;4,44319866887128
20;110;170,74;8;1000;6,07255016549263
20;110;170,74;9;1000;8,3302167661255
20;110;170,74;10;1000;8,09691042357898
20;110;170,74;11;1000;7,36017241846006
20;110;170,74;12;1000;8,12316515206198
20;110;170,74;13;1000;7,60185225469543
20;110;170,74;14;1000;10,2227366417206
20;110;170,74;15;1000;11,7880251561762
20;110;170,74;16;1000;9,40444791559778
20;110;170,74;17;1000;7,10716084767867
20;110;170,74;18;1000;10,8175351559738
26;110;382,18;1;1000;5,91788794783682
26;110;382,18;2;1000;6,64007016165781
26;110;382,18;3;1000;7,32332250663771
26;110;382,18;4;1000;6,86184590583653
26;110;382,18;5;1000;5,58194019053618
26;110;382,18;6;1000;8,67629714772556
26;110;382,18;7;1000;7,5063266699909
26;110;382,18;8;1000;6,49034171914776
26;110;382,18;9;1000;9,02472608611878
26;110;382,18;10;1000;6,51677055090964
26;110;382,18;11;1000;5,67186876802746
26;110;382,18;12;1000;4,1319617735431
26;110;382,18;13;1000;6,1929741953017
26;110;382,18;14;1000;6,01674914286489
26;110;382,18;15;1000;6,46764822039294
26;110;382,18;16;1000;8,61300575940527
26;110;382,18;17;1000;5,32412538684525
26;110;382,18;18;1000;5,62993589175722
26;110;382,18;19;1000;6,66673113279722
26;110;382,18;20;1000;7,01078636030163
26;110;382,18;21;1000;6,12047962496295
26;110;382,18;22;1000;5,29921278348398
26;110;382,18;23;1000;7,55658812626072
26;110;382,18;24;1000;4,71086711525697
26;110;382,18;25;1000;6,81337004023739
26;110;382,18;26;1000;5,97260081926539
26;110;382,18;27;1000;5,97491322621572
26;110;382,18;28;1000;4,67032672564236
26;110;382,18;29;1000;5,28317901940883
26;110;382,18;30;1000;6,57803663381399
26;110;382,18;31;1000;5,7002239537624
26;110;382,18;32;1000;6,3172376879417
26;110;382,18;33;1000;6,04440341695518
26;110;382,18;34;1000;4,84876179159163
26;110;382,18;35;1000;8,21523765447804
26;110;382,18;36;1000;9,38593669561893
26;110;382,18;37;1000;7,58597171067934
26;110;382,18;38;1000;3,99341351270428
26;110;382,18;39;1000;5,92311357154871
26;110;382,18;40;1000;6,07078243670129
26;110;382,18;41;1000;4,87123530610061
26;110;382,18;42;1000;7,37553214063434
34;110;190,59;1;1000;6,54876108742116
34;110;190,59;2;1000;6,81649624491172
34;110;190,59;3;1000;8,42303689410791
34;110;190,59;4;1000;7,53613322964908
34;110;190,59;5;1000;5,41328072701661
34;110;190,59;6;1000;4,92630780267977
34;110;190,59;7;1000;9,6525866069179
34;110;190,59;8;1000;8,73011026766789
34;110;190,59;9;1000;7,05251558073561
34;110;190,59;10;1000;10,7410821727569
34;110;190,59;11;1000;7,77030845625419
34;110;190,59;12;1000;6,72117458797453
34;110;190,59;13;1000;8,31202984125798
34;110;190,59;14;1000;8,4848192671907
34;110;190,59;15;1000;6,42268361239449
34;110;190,59;16;1000;8,21968434031866
34;110;190,59;17;1000;7,70937894866987
34;110;190,59;18;1000;7,43420645879085
34;110;190,59;19;1000;8,58011741355107
34;110;190,59;20;1000;9,83453327058725
37;110;173,74;1;1000;8,76425941937838
37;110;173,74;2;1000;9,00918352857725
37;110;173,74;3;1000;8,78457564837742
37;110;173,74;4;1000;8,01264598436315
37;110;173,74;5;1000;9,08265869313015
37;110;173,74;6;1000;6,57559060816564
37;110;173,74;7;1000;6,62819475289221
37;110;173,74;8;1000;10,4960196265531
37;110;173,74;9;1000;9,09505630357321
37;110;173,74;10;1000;4,59565763162622
37;110;173,74;11;1000;7,72474257583603
37;110;173,74;12;1000;7,02441691051647
37;110;173,74;13;1000;10,8282063170726
37;110;173,74;14;1000;8,35926869846097
37;110;173,74;15;1000;7,452557295713
37;110;173,74;16;1000;10,6308315398635
37;110;173,74;17;1000;9,26809819128013
40;110;479,8;1;1000;9,29669130408047
40;110;479,8;2;1000;7,18671299402998
40;110;479,8;3;1000;7,48813112963345
40;110;479,8;4;1000;8,60525573192298
40;110;479,8;5;1000;10,511107054317
40;110;479,8;6;1000;9,62598916909575
40;110;479,8;7;1000;6,47979324194747
40;110;479,8;8;1000;12,8013450006335
40;110;479,8;9;1000;9,81308453310073
40;110;479,8;10;1000;7,88464137477804
40;110;479,8;11;1000;7,3378350999703
40;110;479,8;12;1000;8,50962737797412
40;110;479,8;13;1000;14,3684567644596
40;110;479,8;14;1000;5,55354458881103
40;110;479,8;15;1000;14,3828970908603
40;110;479,8;16;1000;10,0542667700555
40;110;479,8;17;1000;14,3224940344837
40;110;479,8;18;1000;8,65120825448828
40;110;479,8;19;1000;9,79960047522469
40;110;479,8;20;1000;7,19378789272389
40;110;479,8;21;1000;11,9462726487367
40;110;479,8;22;1000;12,4258960396706
40;110;479,8;23;1000;10,7443701681471
40;110;479,8;24;1000;14,108673674357
40;110;479,8;25;1000;10,6448787054432
40;110;479,8;26;1000;13,8396704825558
40;110;479,8;27;1000;9,39122493234315
40;110;479,8;28;1000;6,68243006819376
40;110;479,8;29;1000;10,819377581038
40;110;479,8;30;1000;14,186260968531
40;110;479,8;31;1000;8,91274472635431
40;110;479,8;32;1000;12,7115295887013
40;110;479,8;33;1000;13,5121180437963
40;110;479,8;34;1000;11,0666334286015
40;110;479,8;35;1000;8,40210493738117
40;110;479,8;36;1000;9,98544520518927
40;110;479,8;37;1000;8,66306991341272
40;110;479,8;38;1000;8,9534625859299
40;110;479,8;39;1000;9,83373134979939
40;110;479,8;40;1000;5,020095780949
40;110;479,8;41;1000;6,95636694273697
40;110;479,8;42;1000;8,41396977552454
40;110;479,8;43;1000;6,73439974388005
40;110;479,8;44;1000;8,37472374549714
40;110;479,8;45;1000;9,88657872983921
40;110;479,8;46;1000;13,8514729253717
40;110;479,8;47;1000;6,70586000583283
40;110;479,8;48;1000;7,61020240025109
40;110;479,8;49;1000;11,4644972936718
47;110;422,08;1;1000;12,97408349597
47;110;422,08;2;1000;9,80717779405353
47;110;422,08;3;1000;13,7230203472297
47;110;422,08;4;1000;9,87364002310251
47;110;422,08;5;1000;9,42853254543023
47;110;422,08;6;1000;8,7102048656045
47;110;422,08;7;1000;9,7504089006882
47;110;422,08;8;1000;9,68466595227953
47;110;422,08;9;1000;8,11291563710457
47;110;422,08;10;1000;12,6056621842105
47;110;422,08;11;1000;7,22137332614389
47;110;422,08;12;1000;12,1507398464571
47;110;422,08;13;1000;10,147790336757
47;110;422,08;14;1000;11,054174734822
47;110;422,08;15;1000;10,5564965195594
47;110;422,08;16;1000;12,0743727973215
47;110;422,08;17;1000;12,1354067689563
47;110;422,08;18;1000;6,38079983961265
47;110;422,08;19;1000;8,94696245595036
47;110;422,08;20;1000;8,11925514814504
47;110;422,08;21;1000;11,9066311591315
47;110;422,08;22;1000;5,75993237715152
47;110;422,08;23;1000;7,11044265950265
47;110;422,08;24;1000;9,41465429997364
47;110;422,08;25;1000;7,34317347361448
47;110;422,08;26;1000;7,93637331694751
47;110;422,08;27;1000;10,8401450587439
47;110;422,08;28;1000;14,4220440032309
47;110;422,08;29;1000;11,7723640241032
47;110;422,08;30;1000;10,0118956312448
47;110;422,08;31;1000;10,0286666640402
47;110;422,08;32;1000;8,19413114358447
47;110;422,08;33;1000;9,27923843073721
47;110;422,08;34;1000;13,016490070171
47;110;422,08;35;1000;8,86670569418211
47;110;422,08;36;1000;7,13216124668151
47;110;422,08;37;1000;10,2733970457511
47;110;422,08;38;1000;7,14165233307417
47;110;422,08;39;1000;7,88858840743862
47;110;422,08;40;1000;12,2779797902402
47;110;422,08;41;1000;8,21417790062228
47;110;422,08;42;1000;10,0507245810688
47;110;422,08;43;1000;8,36415520032267
47;110;422,08;44;1000;6,96724822692315
47;110;422,08;45;1000;8,37852025027161
47;110;422,08;46;1000;11,808386768392
53;110;339,11;1;1000;7,17165058251642
53;110;339,11;2;1000;7,94251456271937
53;110;339,11;3;1000;7,88674906527861
53;110;339,11;4;1000;6,82084970510102
53;110;339,11;5;1000;5,64347543461763
53;110;339,11;6;1000;10,4282747351147
53;110;339,11;7;1000;8,09328847836727
53;110;339,11;8;1000;8,01262603920838
53;110;339,11;9;1000;7,73414589004547
53;110;339,11;10;1000;9,62205768263031
53;110;339,11;11;1000;8,97562079710827
53;110;339,11;12;1000;7,2145760992749
53;110;339,11;13;1000;6,66439554253672
53;110;339,11;14;1000;7,33435644515183
53;110;339,11;15;1000;8,30493449638797
53;110;339,11;16;1000;4,90540735535014
53;110;339,11;17;1000;6,00389799502685
53;110;339,11;18;1000;7,1777632565517
53;110;339,11;19;1000;6,4645292059827
53;110;339,11;20;1000;9,04045553004689
53;110;339,11;21;1000;8,75584977660827
53;110;339,11;22;1000;5,02631356406674
53;110;339,11;23;1000;9,23905896679322
53;110;339,11;24;1000;7,05020682889387
53;110;339,11;25;1000;8,50839502388662
53;110;339,11;26;1000;9,79658001970612
53;110;339,11;27;1000;4,92877808772555
53;110;339,11;28;1000;7,71416123460544
53;110;339,11;29;1000;10,5543741822766
53;110;339,11;30;1000;8,38476599667867
53;110;339,11;31;1000;8,26493300951529
53;110;339,11;32;1000;6,46860086499032
53;110;339,11;33;1000;6,84083193980589
53;110;339,11;34;1000;8,79629981415166
53;110;339,11;35;1000;8,17138783207972
53;110;339,11;36;1000;6,03017422257395
53;110;339,11;37;1000;6,88395969482109
56;110;207,98;1;1000;9,35662400943481
56;110;207,98;2;1000;6,99889573450292
56;110;207,98;3;1000;11,5174173863974
56;110;207,98;4;1000;9,24983450387341
56;110;207,98;5;1000;8,65826129385572
56;110;207,98;6;1000;8,94692770686711
56;110;207,98;7;1000;7,08337272594825
56;110;207,98;8;1000;8,66024061294768
56;110;207,98;9;1000;7,62415727352221
56;110;207,98;10;1000;8,78658234580902
56;110;207,98;11;1000;11,1272077314567
56;110;207,98;12;1000;6,30641460930946
56;110;207,98;13;1000;6,62685043206364
56;110;207,98;14;1000;8,61017940289113
56;110;207,98;15;1000;8,41841283885073
56;110;207,98;16;1000;7,76391721770547
56;110;207,98;17;1000;10,4949371689664
56;110;207,98;18;1000;8,88328167234513
56;110;207,98;19;1000;4,15900099740901
56;110;207,98;20;1000;7,09181860692105
56;110;207,98;21;1000;5,89403658499063
56;110;207,98;22;1000;8,30686469994526
56;110;207,98;23;1000;6,63457139960955
60;110;174;1;1000;9,14218888125011
60;110;174;2;1000;10,8444708179839
60;110;174;3;1000;9,56318224017971
60;110;174;4;1000;6,11885263794063
60;110;174;5;1000;7,57602157523006
60;110;174;6;1000;7,00812446449322
60;110;174;7;1000;7,41232715121064
60;110;174;8;1000;6,20299182496951
60;110;174;9;1000;7,43329144403473
60;110;174;10;1000;10,2379495969662
60;110;174;11;1000;7,81670061140955
60;110;174;12;1000;9,92275463316965
60;110;174;13;1000;10,3849362792662
60;110;174;14;1000;8,70515065976269
60;110;174;15;1000;6,04440819192096
60;110;174;16;1000;9,91868784483275
60;110;174;17;1000;9,38384367437229
60;110;174;18;1000;9,00945761096907
60;110;174;19;1000;6,73509218440833
64;110;430,19;1;1000;5,56453408574975
64;110;430,19;2;1000;6,16838099392535
64;110;430,19;3;1000;8,34656564073105
64;110;430,19;4;1000;10,1249784864217
64;110;430,19;5;1000;7,71274768028453
64;110;430,19;6;1000;6,77956874463906
64;110;430,19;7;1000;11,2746257899813
64;110;430,19;8;1000;10,0955458939608
64;110;430,19;9;1000;10,599817935436
64;110;430,19;10;1000;8,43684626141143
64;110;430,19;11;1000;10,9687146282971
64;110;430,19;12;1000;9,04721222455805
64;110;430,19;13;1000;8,47904180546286
64;110;430,19;14;1000;7,89004182172381
64;110;430,19;15;1000;8,0268522898218
64;110;430,19;16;1000;5,11869960738377
64;110;430,19;17;1000;9,70474920678878
64;110;430,19;18;1000;9,29314450769937
64;110;430,19;19;1000;6,48295207895859
64;110;430,19;20;1000;6,54381469035795
64;110;430,19;21;1000;7,05132980235364
64;110;430,19;22;1000;4,75136384772907
64;110;430,19;23;1000;5,02542959431854
64;110;430,19;24;1000;7,11201688187472
64;110;430,19;25;1000;7,81612184041241
64;110;430,19;26;1000;8,4839499224995
64;110;430,19;27;1000;8,82010233372019
64;110;430,19;28;1000;5,28363561333821
64;110;430,19;29;1000;6,42812471112503
64;110;430,19;30;1000;8,36841277055571
64;110;430,19;31;1000;6,8140911144486
64;110;430,19;32;1000;6,5541946976655
64;110;430,19;33;1000;9,2651594795002
64;110;430,19;34;1000;7,38250411625305
64;110;430,19;35;1000;6,93283683980437
64;110;430,19;36;1000;10,3283191122904
64;110;430,19;37;1000;5,00224966080946
64;110;430,19;38;1000;7,99176305829092
64;110;430,19;39;1000;6,66482900991471
64;110;430,19;40;1000;8,38790433471574
64;110;430,19;41;1000;7,86248755290531
64;110;430,19;42;1000;4,56604321503579
64;110;430,19;43;1000;5,2771137954655
64;110;430,19;44;1000;8,24582445818292
64;110;430,19;45;1000;4,22861440489503
64;110;430,19;46;1000;8,40145409034083
69;110;320,27;1;1000;5,81519709631544
69;110;320,27;2;1000;8,25932057987786
69;110;320,27;3;1000;9,11387824513208
69;110;320,27;4;1000;6,00123994686604
69;110;320,27;5;1000;10,7068802810222
69;110;320,27;6;1000;7,89529974610585
69;110;320,27;7;1000;6,49358205152609
69;110;320,27;8;1000;6,81580815869876
69;110;320,27;9;1000;9,98259487720026
69;110;320,27;10;1000;8,70139781102256
69;110;320,27;11;1000;10,9954741847718
69;110;320,27;12;1000;9,9648086028152
69;110;320,27;13;1000;8,15687212640893
69;110;320,27;14;1000;8,34913011514872
69;110;320,27;15;1000;9,87999701492494
69;110;320,27;16;1000;11,5319988700998
69;110;320,27;17;1000;10,1643363292443
69;110;320,27;18;1000;7,21119963878841
69;110;320,27;19;1000;9,59333805153538
69;110;320,27;20;1000;7,78157181626938
69;110;320,27;21;1000;8,89087475255658
69;110;320,27;22;1000;11,3845334378417
69;110;320,27;23;1000;8,77849794531745
69;110;320,27;24;1000;6,98694500404375
69;110;320,27;25;1000;6,99270854504275
69;110;320,27;26;1000;10,0484573799557
69;110;320,27;27;1000;8,90195087308406
69;110;320,27;28;1000;8,4893804281328
69;110;320,27;29;1000;8,5287905019404
69;110;320,27;30;1000;9,96693885541544
69;110;320,27;31;1000;10,430873771571
69;110;320,27;32;1000;7,07679410211526
75;110;108,97;1;1000;7,14716519070716
75;110;108,97;2;1000;12,1458581531057
75;110;108,97;3;1000;11,9745469387657
75;110;108,97;4;1000;6,03276286242823
75;110;108,97;5;1000;6,61266257671689
75;110;108,97;6;1000;9,56891278658636
75;110;108,97;7;1000;8,97710206974692
75;110;108,97;8;1000;11,2574878230344
75;110;108,97;9;1000;12,437664967069
75;110;108,97;10;1000;9,2745762227356
75;110;108,97;11;1000;8,43491462883096
76;110;54,03;1;1000;8,02741281763928
76;110;54,03;2;1000;9,88558835161255
76;110;54,03;3;1000;9,72759079850136
76;110;54,03;4;1000;12,9181850337851
76;110;54,03;5;1000;10,80383683222
81;110;370,44;1;1000;5,77193212362786
81;110;370,44;2;1000;4,46520305277507
81;110;370,44;3;1000;8,62069770055162
81;110;370,44;4;1000;5,00284202278081
81;110;370,44;5;1000;8,66231915846637
81;110;370,44;6;1000;7,85833384815289
81;110;370,44;7;1000;7,24063406885092
81;110;370,44;8;1000;6,73382916130522
81;110;370,44;9;1000;6,30581099133577
81;110;370,44;10;1000;10,2236316426865
81;110;370,44;11;1000;5,13274100630041
81;110;370,44;12;1000;7,49721874754572
81;110;370,44;13;1000;5,84441141040322
81;110;370,44;14;1000;8,24519726214485
81;110;370,44;15;1000;5,52928646342831
81;110;370,44;16;1000;4,00230303641509
81;110;370,44;17;1000;6,23393029237685
81;110;370,44;18;1000;4,07190436692591
81;110;370,44;19;1000;8,26344180704006
81;110;370,44;20;1000;7,0710627852856
81;110;370,44;21;1000;5,2317821662489
81;110;370,44;22;1000;6,13789101667451
81;110;370,44;23;1000;7,98579452572113
81;110;370,44;24;1000;8,11220434778848
81;110;370,44;25;1000;8,64918326548357
81;110;370,44;26;1000;7,9667641385544
81;110;370,44;27;1000;6,24722691164743
81;110;370,44;28;1000;9,03249967653801
81;110;370,44;29;1000;7,84646557164828
81;110;370,44;30;1000;5,38159730363287
81;110;370,44;31;1000;8,18796707139987
81;110;370,44;32;1000;7,05499205219672
81;110;370,44;33;1000;5,77967110942552
81;110;370,44;34;1000;8,51973793498992
85;110;305,36;1;1000;9,20814567248543
85;110;305,36;2;1000;11,3974774261127
85;110;305,36;3;1000;12,3561369320314
85;110;305,36;4;1000;11,5615594475214
85;110;305,36;5;1000;13,2356157859426
85;110;305,36;6;1000;7,69943469644828
85;110;305,36;7;1000;7,86112714475789
85;110;305,36;8;1000;6,64308667573933
85;110;305,36;9;1000;10,0782558607615
85;110;305,36;10;1000;10,1898432496439
85;110;305,36;11;1000;11,0033454142999
85;110;305,36;12;1000;7,95863862512964
85;110;305,36;13;1000;14,5682721812318
85;110;305,36;14;1000;9,93151256785384
85;110;305,36;15;1000;6,67226738340526
85;110;305,36;16;1000;10,5748430610299
85;110;305,36;17;1000;11,1684293663478
85;110;305,36;18;1000;13,6115058800526
85;110;305,36;19;1000;8,61675089810347
85;110;305,36;20;1000;9,29645384755955
85;110;305,36;21;1000;9,40593065455115
85;110;305,36;22;1000;7,41396569358056
85;110;305,36;23;1000;9,46729163612774
85;110;305,36;24;1000;10,790052852663
85;110;305,36;25;1000;8,14896599492677
85;110;305,36;26;1000;9,07427213304025
85;110;305,36;27;1000;11,4113148602593
85;110;305,36;28;1000;9,45475996627139
93;110;280,78;1;1000;7,93461448110171
93;110;280,78;2;1000;14,1170022961286
93;110;280,78;3;1000;8,41075255306373
93;110;280,78;4;1000;11,7479346840354
93;110;280,78;5;1000;11,0749362457544
93;110;280,78;6;1000;9,8222340771746
93;110;280,78;7;1000;10,807948402348
93;110;280,78;8;1000;14,6293216497991
93;110;280,78;9;1000;8,64138402143168
93;110;280,78;10;1000;11,6995269183572
93;110;280,78;11;1000;10,290773285841
93;110;280,78;12;1000;9,46943934606416
93;110;280,78;13;1000;10,6065440138461
93;110;280,78;14;1000;13,8744567911581
93;110;280,78;15;1000;11,5631870746423
93;110;280,78;16;1000;10,1046480925405
93;110;280,78;17;1000;8,9001393512219
93;110;280,78;18;1000;12,6249371479309
93;110;280,78;19;1000;10,9525332806224
93;110;280,78;20;1000;14,4297238404056
93;110;280,78;21;1000;14,0260308713771
93;110;280,78;22;1000;14,4052651043286
93;110;280,78;23;1000;6,27791312847112
93;110;280,78;24;1000;14,6000611239907
93;110;280,78;25;1000;13,4965589297652
93;110;280,78;26;1000;8,873434288204
93;110;280,78;27;1000;13,1820752890497
93;110;280,78;28;1000;10,9812094322316
93;110;280,78;29;1000;12,3717404961739
104;110;258,03;1;1000;13,0960796404975
104;110;258,03;2;1000;13,9968329046022
104;110;258,03;3;1000;14,8790680977935
104;110;258,03;4;1000;8,66481616168008
104;110;258,03;5;1000;10,4061451900606
104;110;258,03;6;1000;13,7518367189269
104;110;258,03;7;1000;12,3588759134422
104;110;258,03;8;1000;10,6677636983022
104;110;258,03;9;1000;7,76305556542972
104;110;258,03;10;1000;7,72445961406528
104;110;258,03;11;1000;13,0099706258259
104;110;258,03;12;1000;9,89017694266074
104;110;258,03;13;1000;11,7926617441296
104;110;258,03;14;1000;6,36579910922615
104;110;258,03;15;1000;10,7065228326052
104;110;258,03;16;1000;12,5026696900519
104;110;258,03;17;1000;9,82326395233803
104;110;258,03;18;1000;10,4708978444601
104;110;258,03;19;1000;11,7226003715023
104;110;258,03;20;1000;6,25230603635779
104;110;258,03;21;1000;10,4718768846813
104;110;258,03;22;1000;15,1052110754842
104;110;258,03;23;1000;9,3043689751684
104;110;258,03;24;1000;11,4839884290397
104;110;258,03;25;1000;8,53939319298191
104;110;258,03;26;1000;11,3757122606052
106;110;484,51;1;1000;5,65907669023532
106;110;484,51;2;1000;5,6516432953095
106;110;484,51;3;1000;8,81851495245145
106;110;484,51;4;1000;5,54903622726112
106;110;484,51;5;1000;5,67988994210945
106;110;484,51;6;1000;3,9196922469947
106;110;484,51;7;1000;6,36464742881729
106;110;484,51;8;1000;8,48709554881907
106;110;484,51;9;1000;7,27940992383726
106;110;484,51;10;1000;8,10460469874882
106;110;484,51;11;1000;5,84241374839248
106;110;484,51;12;1000;5,52648922326141
106;110;484,51;13;1000;7,79646795632368
106;110;484,51;14;1000;6,31380618673337
106;110;484,51;15;1000;8,21259226699176
106;110;484,51;16;1000;7,8713840208517
106;110;484,51;17;1000;6,48786448579729
106;110;484,51;18;1000;6,02996237390814
106;110;484,51;19;1000;7,9910514718112
106;110;484,51;20;1000;4,09339492176278
106;110;484,51;21;1000;7,37133352149093
106;110;484,51;22;1000;7,16091840586844
106;110;484,51;23;1000;5,34469904304692
106;110;484,51;24;1000;7,21176250189227
106;110;484,51;25;1000;4,9434670131184
106;110;484,51;26;1000;6,08366534597839
106;110;484,51;27;1000;7,80104005916315
106;110;484,51;28;1000;5,48351875867179
106;110;484,51;29;1000;7,93009947669171
106;110;484,51;30;1000;4,54404097409795
106;110;484,51;31;1000;6,58206167090216
106;110;484,51;32;1000;7,21278527483316
106;110;484,51;33;1000;6,92131135327094
106;110;484,51;34;1000;5,61166758907763
106;110;484,51;35;1000;6,91493468393814
106;110;484,51;36;1000;6,72986208440571
106;110;484,51;37;1000;6,22870845932342
106;110;484,51;38;1000;5,56218750154373
106;110;484,51;39;1000;7,19709947746232
106;110;484,51;40;1000;3,91350794632925
106;110;484,51;41;1000;5,96733699693233
106;110;484,51;42;1000;6,57090800056356
106;110;484,51;43;1000;7,10773299762298
106;110;484,51;44;1000;5,0808346652433
106;110;484,51;45;1000;9,80391149492851
106;110;484,51;46;1000;8,2908655074794
106;110;484,51;47;1000;7,24863231091442
